3300.  14.083       50
3350.  14.054	    50
3400.  14.057	    50
3450.  14.073	    50
3500.  14.07	    50
3550.  14.055	    50
3600.  14.039	    50
3650.  14.024	    50
3700.  14.026	    50
3750.  14.015	    50
3800.  14.012	    50
3850.  14.001	    50
3900.  13.995	    50
3950.  14.026	    50
4000.  13.929	    50
4050.  13.85	    50
4100.  14.164	    50
4150.  13.83	    50
4200.  13.695	    50
4250.  13.718	    50
4300.  13.922	    50
4350.  14.228	    50
4400.  13.819	    50
4450.  13.703	    50
4500.  13.674	    50
4550.  13.658	    50
4600.  13.666	    50
4650.  13.68	    50
4700.  13.702	    50
4750.  13.753	    50
4800.  13.874	    50
4850.  14.251	    50
4900.  14.01	    50
4950.  13.805	    50
5000.  13.746	    50
5050.  13.727	    50
5100.  13.723	    50
5150.  13.724	    50
5200.  13.721	    50
5250.  13.729	    50
5300.  13.736	    50
5350.  13.74	    50
5400.  13.756	    50
5450.  13.755	    50
5500.  13.758	    50
5550.  13.78	    50
5600.  13.782	    50
5650.  13.79	    50
5700.  13.808	    50
5750.  13.827	    50
5800.  13.825	    50
5850.  13.823	    50
5900.  13.837	    50
5950.  13.844	    50
6000.  13.853	    50
6050.  13.864	    50
6100.  13.876	    50
6150.  13.88	    50
6200.  13.892	    50
6250.  13.904	    50
6300.  13.927	    50
6350.  13.931	    50
6400.  13.956	    50
6450.  13.992	    50
6500.  14.101	    50
6550.  14.394	    50
6600.  14.231	    50
6650.  14.059	    50
6700.  14.008	    50
6750.  13.995	    50
6800.  13.994	    50
6850.  14.038	    50
6900.  14.03633	    50
6950.  14.03467	    50
7000.  14.033	    50
7050.  14.03133	    50
7100.  14.02966	    50
7150.  14.05744	    50
7200.  14.0618	    50
7250.  14.06616	    50
7300.  14.07053	    50
7350.  14.07489	    50
7400.  14.07926	    50
7450.  14.089	    50
7500.  14.1	    50
7550.  14.09767	    50
7600.  14.106	    50
7650.  14.11433	    50
7700.  14.12267	    50
7750.  14.131	    50
7800.  14.12686	    50
7850.  14.13471	    50
7900.  14.14257	    50
7950.  14.15043	    50
8000.  14.15829	    50
8050.  14.16614	    50
8100.  14.174	    50
8150.  14.18186	    50
8200.  14.18972	    50
8250.  14.19757	    50
8300.  14.20543	    50
8350.  14.21329	    50
8400.  14.22114	    50
8450.  14.229	    50
8500.  14.236	    50
8550.  14.259	    50
8600.  14.267	    50
8650.  14.276	    50
8700.  14.283	    50
8750.  14.291	    50
8800.  14.298	    50
8850.  14.317	    50
8900.  14.33497	    50
8950.  14.35513	    50
9000.  14.37528	    50
9050.  14.39544	    50
9100.  14.4156	    50
9150.  14.43576	    50
9200.  14.45592	    50
9250.  14.47731	    50
9300.  14.47369	    50
9350.  14.47007	    50
9400.  14.46646	    50
9450.  14.46284	    50
9500.  14.45922	    50
9550.  14.4556	    50
9600.  14.45198	    50
9650.  14.44837	    50
9700.  14.44475	    50
9750.  14.44113	    50
9800.  14.43751	    50
9850.  14.43389	    50
9900.  14.43028	    50
9950.  14.527	    50
