   3850.00   13.297  4.00
   3854.00   13.295  4.00
   3858.00   13.293  4.00
   3862.00   13.291  4.00
   3866.00   13.289  4.00
   3870.00   13.287  4.00
   3874.00   13.286  4.00
   3878.00   13.285  4.00
   3882.00   13.285  4.00
   3886.00   13.284  4.00
   3890.00   13.283  4.00
   3894.00   13.282  4.00
   3898.00   13.281  4.00
   3902.00   13.280  4.00
   3906.00   13.279  4.00
   3910.00   13.278  4.00
   3914.00   13.277  4.00
   3918.00   13.281  4.00
   3922.00   13.310  4.00
   3926.00   13.359  4.00
   3930.00   13.498  4.00
   3934.00   13.622  4.00
   3938.00   13.518  4.00
   3942.00   13.379  4.00
   3946.00   13.319  4.00
   3950.00   13.294  4.00
   3954.00   13.297  4.00
   3958.00   13.299  4.00
   3962.00   13.328  4.00
   3966.00   13.415  4.00
   3970.00   13.467  4.00
   3974.00   13.400  4.00
   3978.00   13.323  4.00
   3982.00   13.286  4.00
   3986.00   13.260  4.00
   3990.00   13.239  4.00
   3994.00   13.237  4.00
   3998.00   13.236  4.00
   4002.00   13.236  4.00
   4006.00   13.236  4.00
   4010.00   13.236  4.00
   4014.00   13.235  4.00
   4018.00   13.235  4.00
   4022.00   13.234  4.00
   4026.00   13.232  4.00
   4030.00   13.230  4.00
   4034.00   13.228  4.00
   4038.00   13.227  4.00
   4042.00   13.227  4.00
   4046.00   13.226  4.00
   4050.00   13.225  4.00
   4054.00   13.223  4.00
   4058.00   13.223  4.00
   4062.00   13.222  4.00
   4066.00   13.220  4.00
   4070.00   13.219  4.00
   4074.00   13.218  4.00
   4078.00   13.216  4.00
   4082.00   13.214  4.00
   4086.00   13.213  4.00
   4090.00   13.211  4.00
   4094.00   13.210  4.00
   4098.00   13.208  4.00
   4102.00   13.206  4.00
   4106.00   13.205  4.00
   4110.00   13.204  4.00
   4114.00   13.203  4.00
   4118.00   13.203  4.00
   4122.00   13.202  4.00
   4126.00   13.201  4.00
   4130.00   13.201  4.00
   4134.00   13.200  4.00
   4138.00   13.199  4.00
   4142.00   13.198  4.00
   4146.00   13.196  4.00
   4150.00   13.194  4.00
   4154.00   13.192  4.00
   4158.00   13.190  4.00
   4162.00   13.189  4.00
   4166.00   13.188  4.00
   4170.00   13.187  4.00
   4174.00   13.185  4.00
   4178.00   13.185  4.00
   4182.00   13.184  4.00
   4186.00   13.184  4.00
   4190.00   13.183  4.00
   4194.00   13.182  4.00
   4198.00   13.181  4.00
   4202.00   13.179  4.00
   4206.00   13.178  4.00
   4210.00   13.178  4.00
   4214.00   13.177  4.00
   4218.00   13.176  4.00
   4222.00   13.176  4.00
   4226.00   13.175  4.00
   4230.00   13.173  4.00
   4234.00   13.173  4.00
   4238.00   13.172  4.00
   4242.00   13.172  4.00
   4246.00   13.171  4.00
   4250.00   13.170  4.00
   4254.00   13.169  4.00
   4258.00   13.167  4.00
   4262.00   13.166  4.00
   4266.00   13.165  4.00
   4270.00   13.165  4.00
   4274.00   13.163  4.00
   4278.00   13.161  4.00
   4282.00   13.159  4.00
   4286.00   13.158  4.00
   4290.00   13.157  4.00
   4294.00   13.156  4.00
   4298.00   13.156  4.00
   4302.00   13.155  4.00
   4306.00   13.154  4.00
   4310.00   13.153  4.00
   4314.00   13.153  4.00
   4318.00   13.153  4.00
   4322.00   13.152  4.00
   4326.00   13.151  4.00
   4330.00   13.150  4.00
   4334.00   13.149  4.00
   4338.00   13.148  4.00
   4342.00   13.147  4.00
   4346.00   13.147  4.00
   4350.00   13.146  4.00
   4354.00   13.145  4.00
   4358.00   13.145  4.00
   4362.00   13.144  4.00
   4366.00   13.143  4.00
   4370.00   13.142  4.00
   4374.00   13.141  4.00
   4378.00   13.140  4.00
   4382.00   13.139  4.00
   4386.00   13.138  4.00
   4390.00   13.136  4.00
   4394.00   13.135  4.00
   4398.00   13.133  4.00
   4402.00   13.132  4.00
   4406.00   13.132  4.00
   4410.00   13.130  4.00
   4414.00   13.130  4.00
   4418.00   13.130  4.00
   4422.00   13.129  4.00
   4426.00   13.130  4.00
   4430.00   13.131  4.00
   4434.00   13.131  4.00
   4438.00   13.131  4.00
   4442.00   13.131  4.00
   4446.00   13.131  4.00
   4450.00   13.132  4.00
   4454.00   13.132  4.00
   4458.00   13.131  4.00
   4462.00   13.131  4.00
   4466.00   13.131  4.00
   4470.00   13.130  4.00
   4474.00   13.129  4.00
   4478.00   13.129  4.00
   4482.00   13.128  4.00
   4486.00   13.126  4.00
   4490.00   13.125  4.00
   4494.00   13.125  4.00
   4498.00   13.125  4.00
   4502.00   13.124  4.00
   4506.00   13.124  4.00
   4510.00   13.124  4.00
   4514.00   13.123  4.00
   4518.00   13.123  4.00
   4522.00   13.123  4.00
   4526.00   13.122  4.00
   4530.00   13.122  4.00
   4534.00   13.121  4.00
   4538.00   13.119  4.00
   4542.00   13.118  4.00
   4546.00   13.118  4.00
   4550.00   13.116  4.00
   4554.00   13.115  4.00
   4558.00   13.114  4.00
   4562.00   13.114  4.00
   4566.00   13.113  4.00
   4570.00   13.112  4.00
   4574.00   13.113  4.00
   4578.00   13.112  4.00
   4582.00   13.111  4.00
   4586.00   13.110  4.00
   4590.00   13.110  4.00
