8266.79 ArI
8282.39 XeI
8349.11 XeI
8410.52 ArI
8426.96 ArI
8523.78 ArI
8578.36 XeI
8608.14 ArI
8650.91 XeI
8670.32 ArI
8694.59 XeI
8699.25 XeI
8741.79 XeI
8760.60 XeI
8821.83 XeI
8864.75 XeI
8911.17 XeI
8933.28 XeI
8954.71 XeI
8983.51 XeI
8990.04 XeI
9047.93 XeI
9125.47 ArI
9165.16 XeI
9170.03 XeI
9197.16 ArI
9227.03 ArI
9294.08 ArI
9309.19 XeI
9356.78 ArI
9377.33 XeI
9414.59 XeI
9447.93 XeI
9499.67 XeI
9515.99 XeI
9587.77 XeI
9660.43 ArI
9687.97 XeI
9703.65 XeI
9720.82 XeI
9787.18 ArI
9802.38 XeI
9925.91 XeI
10026.46 XeI
10054.81 ArI
10087.56 XeI
10110.13 XeI
10128.23 XeI
10166.20 Ar3
10191.16 XeI
10253.84 XeI
10311.96 ArI
10335.55 ArI
10472.92 ArI
10480.90 ArI
10487.68 XeI
10509.38 ArI
10530.74 XeI
10676.49 ArI
10684.70 ArI
10703.90 Ar
10709.71 XeI
10736.81 ArI
10761.84 XeI
10762.10 ArI
10776.30 ArI
10841.34 Xe1
10883.94 ArI
10898.31 XeI
10953.74 ArI
11081.90 ArI
11088.27 XeI
11109.50 ArI
11130.20 XeI
11165.80 XeI
11312.70 XeI
11396.82 Ar
11418.20 XeI
11444.97 ArI
11470.69 ArI
11491.25 ArI
11617.30 Xe3
11671.90 ArI
11722.70 ArI
11736.44 ArI
11745.50 Xe3
11796.80 Xe3
11860.50 Xe3
11887.74 ArI
11899.89 ArI
11915.50 XeI
11946.55 ArI
11956.40 Xe3
12029.94 ArI
12088.10 Xe3
12115.64 ArI
12143.06 ArI
12154.69 ArI
12207.15 XeI
12238.59 XeI
12261.11 XeI
12346.77 ArI
12359.67 ArI
12406.22 ArI
12422.79 ArI
12442.73 ArI
12459.52 ArI
12491.08 ArI
12557.76 ArI
12593.64 XeI
12599.66 ArI
12626.84 XeI
12641.94 ArI
12705.75 ArI
12736.90 ArI
12749.72 ArI
12806.24 ArI
12936.73 ArI
12960.20 ArI
13011.82 ArI
13031.99 ArI
13217.61 ArI
13231.72 ArI
13234.51 ArI
13276.27 ArI
13305.95 Ar
13316.85 ArI
13333.76 ArI
13370.77 ArI
13410.26 ArI
13503.10 ArI
13507.88 ArI
13547.91 ArI
13577.33 ArI
13603.05 ArI
13626.38 ArI
13660.79 XeI
13682.29 ArI
13722.30 Ar
13829.50 Ar
13832.10 Ar
13914.40 Ar
14097.49 ArI
14146.31 XeI
14178.58 ArI
14244.85 XeI
14253.09 ArI
14260.76 ArI
14368.91 XeI
14581.44 ArI
14600.46 ArI
14638.42 ArI
14654.35 ArI
14664.81 XeI
14697.03 ArI
14736.83 XeI
14743.17 ArI
14790.11 ArI
14880.57 ArI
15034.62 ArI
15050.62 ArI
15103.84 XeI
15176.84 ArI
15306.07 ArI
15333.54 ArI
15353.44 ArI
15357.32 ArI
15406.85 ArI
15422.60 XeI
15450.95 ArI
15495.20 XeI
15559.71 ArI
15561.38 XeI
15739.21 ArI
15797.47 ArI
15821.10 ArI
15887.51 ArI
15904.03 ArI
15983.90 XeI
15993.86 ArI
16044.28 XeI
16057.66 XeI
16127.06 ArI
16184.44 ArI
16268.51 ArI
16441.07 ArI
16524.38 ArI
16553.78 ArI
16559.01 XeI
16732.72 XeI
16744.65 ArI
16839.14 XeI
16887.68 XeI
16945.21 ArI
17330.50 XeI
17369.82 XeI
17406.67 ArI
17449.67 ArI
17594.80 XeI
17828.87 ArI
17919.61 ArI
18353.01 ArI
18423.09 ArI
18432.80 ArI
18491.76 ArI
18569.30 ArI
18575.23 ArI
18637.37 ArI
18750.12 ArI
18793.26 XeI
19129.04 ArI
19180.51 ArI
19822.91 ArI
19950.52 ArI
19971.18 ArI
20031.14 ArI
20035.57 ArI
20074.41 ArI
20192.70 XeI
20267.77 XeI
20322.56 ArI
20518.40 XeI
20574.43 ArI
20598.90 XeI
20621.86 ArI
20652.77 ArI
20722.00 ArI
20739.22 ArI
20816.72 ArI
20890.30 XeI
20991.84 ArI
21041.57 ArI
21116.70 XeI
21338.71 ArI
21378.90 XeI
21475.94 XeI
21540.09 ArI
22045.58 ArI
22083.21 ArI
22118.66 ArI
22275.91 XeI
22412.93 XeI
22539.74 ArI
22624.45 XeI
22884.10 XeI
22971.04 XeI
22978.37 ArI
23028.70 XeI
23079.75 XeI
23111.56 XeI
23139.52 ArI
23199.65 XeI
23285.89 XeI
23450.30 XeI
23802.95 XeI
23851.54 ArI
23973.06 ArI
24450.40 XeI
24709.05 XeI
24783.37 ArI
24831.48 XeI
25132.13 ArI
25152.69 XeI
25166.30 XeI
25512.18 ArI
25668.02 ArI
26276.24 XeI
